0,index,time,mass,velocity,momentum,kinetic energy
0,0,40844,10.0,81.37,813.7,33107.84
1,1,40844,7.0,120.23,841.61,50596.07
2,2,40844,75.0,10.86,814.5,4429.54
0,0,40860,10.0,44.12,441.2,9735.81
1,1,40860,7.0,120.23,841.61,50596.07
2,2,40860,75.0,27.22,2041.5,27801.56
0,0,40911,10.0,44.12,441.2,9735.81
1,1,40911,7.0,120.23,841.61,50596.07
2,2,40911,75.0,27.22,2041.5,27801.56
0,0,41012,10.0,19.28,192.8,1858.61
1,1,41012,7.0,120.23,841.61,50596.07
2,2,41012,75.0,30.84,2313.0,35678.76
0,0,41113,10.0,89.8,898.0,40320.87
1,1,41113,7.0,58.87,412.09,12133.81
2,2,41113,75.0,30.84,2313.0,35678.76
0,0,41115,10.0,89.8,898.0,40320.87
1,1,41115,7.0,58.87,412.09,12133.81
2,2,41115,75.0,30.84,2313.0,35678.76
0,0,41401,10.0,89.8,898.0,40320.87
1,1,41401,7.0,58.87,412.09,12133.81
2,2,41401,75.0,30.84,2313.0,35678.76
0,0,41418,10.0,89.8,898.0,40320.87
1,1,41418,7.0,58.87,412.09,12133.81
2,2,41418,75.0,30.84,2313.0,35678.76
0,0,41436,10.0,42.49,424.9,9029.52
1,1,41436,7.0,111.38,779.66,43425.16
2,2,41436,75.0,30.84,2313.0,35678.76
0,0,41453,10.0,42.49,424.9,9029.52
1,1,41453,7.0,111.38,779.66,43425.16
2,2,41453,75.0,30.84,2313.0,35678.76
0,0,41688,10.0,99.21,992.09,49216.26
1,1,41688,7.0,30.41,212.87,3238.42
2,2,41688,75.0,30.84,2313.0,35678.76
0,0,41841,10.0,99.21,992.09,49216.26
1,1,41841,7.0,30.41,212.87,3238.42
2,2,41841,75.0,30.84,2313.0,35678.76
0,0,41925,10.0,7.05,70.5,248.75
1,1,41925,7.0,122.13,854.91,52205.92
2,2,41925,75.0,30.84,2313.0,35678.76
0,0,42026,10.0,7.05,70.5,248.75
1,1,42026,7.0,122.13,854.91,52205.92
2,2,42026,75.0,30.84,2313.0,35678.76
0,0,42079,10.0,63.96,639.6,20457.0
1,1,42079,7.0,95.61,669.27,31997.68
2,2,42079,75.0,30.84,2313.0,35678.76
0,0,42094,10.0,63.96,639.6,20457.0
1,1,42095,7.0,95.61,669.27,31997.68
2,2,42095,75.0,30.84,2313.0,35678.76
0,0,42315,10.0,63.96,639.6,20457.0
1,1,42315,7.0,95.61,669.27,31997.68
2,2,42315,75.0,30.84,2313.0,35678.76
0,0,42366,10.0,63.96,639.6,20457.0
1,1,42366,7.0,95.61,669.27,31997.68
2,2,42366,75.0,30.84,2313.0,35678.76
0,0,42451,10.0,63.78,637.79,20343.9
1,1,42451,7.0,95.78,670.46,32110.78
2,2,42451,75.0,30.84,2313.0,35678.76
0,0,42469,10.0,63.78,637.79,20343.9
1,1,42469,7.0,95.78,670.46,32110.78
2,2,42469,75.0,30.84,2313.0,35678.76
0,0,42621,10.0,63.78,637.79,20343.9
1,1,42621,7.0,95.78,670.46,32110.78
2,2,42621,75.0,30.84,2313.0,35678.76
0,0,42655,10.0,63.78,637.79,20343.9
1,1,42655,7.0,95.78,670.46,32110.78
2,2,42655,75.0,30.84,2313.0,35678.76
0,0,42859,10.0,63.78,637.79,20343.9
1,1,42859,7.0,95.78,670.46,32110.78
2,2,42859,75.0,30.84,2313.0,35678.76
0,0,42893,10.0,95.79,957.9,45882.37
1,1,42893,7.0,43.33,303.31,6572.31
2,2,42893,75.0,30.84,2313.0,35678.76
0,0,42942,10.0,86.05,860.5,37023.02
1,1,42942,7.0,43.33,303.31,6572.31
2,2,42942,75.0,34.46,2584.5,44538.11
0,0,43076,10.0,66.47,664.7,22097.47
1,1,43076,7.0,78.37,548.59,21497.86
2,2,43076,75.0,34.46,2584.5,44538.11
0,0,43110,10.0,66.47,664.7,22097.47
1,1,43110,7.0,78.37,548.59,21497.86
2,2,43110,75.0,34.46,2584.5,44538.11
0,0,43193,10.0,66.47,664.7,22097.47
1,1,43193,7.0,78.37,548.59,21497.86
2,2,43193,75.0,34.46,2584.5,44538.11
0,0,43212,10.0,87.04,870.4,37885.67
1,1,43212,7.0,40.38,282.66,5709.66
2,2,43212,75.0,34.46,2584.5,44538.11
0,0,43262,10.0,87.04,870.4,37885.67
1,1,43262,7.0,40.38,282.66,5709.66
2,2,43263,75.0,34.46,2584.5,44538.11
0,0,43602,10.0,85.75,857.5,36767.47
1,1,43602,7.0,44.16,309.12,6827.86
2,2,43602,75.0,34.46,2584.5,44538.11
0,0,43669,10.0,97.82,978.2,47848.62
1,1,43670,7.0,44.16,309.12,6827.86
2,2,43670,75.0,29.86,2239.5,33456.96
0,0,43671,10.0,97.82,978.2,47848.62
1,1,43671,7.0,44.16,309.12,6827.86
2,2,43671,75.0,29.86,2239.5,33456.96
0,0,43703,10.0,97.82,978.2,47848.62
1,1,43703,7.0,44.16,309.12,6827.86
2,2,43703,75.0,29.86,2239.5,33456.96
0,0,43789,10.0,97.82,978.2,47848.62
1,1,43790,7.0,44.16,309.12,6827.86
2,2,43790,75.0,29.86,2239.5,33456.96
0,0,43805,10.0,102.48,1024.8,52513.51
1,1,43806,7.0,44.16,309.12,6827.86
2,2,43806,75.0,27.7,2077.5,28792.07
